day,min,mean,max
165,12.986816,14.298729,15.602234
166,12.959106,14.35984,15.802338
167,13.424896,14.710888,15.892517
168,13.575836,14.793213,16.068268
169,13.354858,14.70845,15.90448
170,13.481842,14.631741,15.871429
171,13.726074,14.859184,15.971558
172,14.0156555,15.125427,16.235687
173,14.075043,15.204498,16.473206
174,14.450806,15.414291,16.428558
175,14.50705,15.713341,16.848907
176,14.428833,15.6069145,16.950806
177,14.361328,15.522053,16.866516
178,14.663849,15.867287,17.008606
179,14.903107,16.14455,17.266571
180,15.054871,16.17155,17.401855
181,15.014587,16.23985,17.445587
182,14.80542,16.131615,17.366882
183,14.952789,16.183983,17.507446
184,14.8280945,16.108276,17.700745
185,14.90567,16.152435,17.519165
186,14.886383,16.186996,17.62442
187,14.99054,16.303024,17.66571
188,15.145996,16.363976,17.676178
189,15.319031,16.463482,17.612946
190,15.120392,16.432453,17.577545
191,15.182129,16.421043,17.57425
192,14.975586,16.35722,17.64325
193,15.055511,16.433102,17.832916
194,14.870941,16.582687,18.211151
195,15.137848,16.844685,18.418365
196,15.44223,16.844627,18.358154
197,15.44162,16.839195,18.087067
198,15.555908,16.796349,18.03009
199,15.477966,16.769848,17.863129
200,15.6828,16.845757,17.799622
201,15.423492,16.83466,18.14566
202,15.374237,16.906109,18.275513
203,15.579742,17.169792,18.789917
204,15.808624,17.295307,18.656525
205,15.910309,17.355984,18.834473
206,15.8498535,17.235016,18.443756
207,15.771484,17.189835,18.525665
208,15.721161,17.244835,18.634735
209,15.736328,17.200748,18.687378
210,15.698975,17.252956,18.530823
211,15.80365,17.31437,18.631042
212,15.971039,17.404305,18.799011
213,16.119995,17.425743,18.839508
214,16.012665,17.331253,18.526245
215,16.068176,17.437359,18.654297
216,16.109283,17.503044,18.690704
217,16.162659,17.545578,18.755524
218,16.268677,17.50074,18.598694
219,15.855133,17.337944,18.730988
220,15.728455,17.19989,18.533722
221,15.837189,17.269825,18.620422
222,15.97464,17.370865,18.58664
223,16.098694,17.602146,18.871979
224,16.190674,17.641739,19.084442
225,15.935791,17.417747,18.939972
226,15.849945,17.304867,18.664734
227,15.580963,17.079166,18.237946
228,15.309265,17.019367,18.283173
229,15.618988,17.113152,18.398315
230,15.642517,17.08155,18.41983
231,15.344055,16.902634,18.307037
232,15.276642,16.794937,18.116577
233,15.043091,16.766575,18.266693
234,15.128357,16.65683,18.071106
235,15.135254,16.675434,18.20987
236,14.99707,16.475708,17.880249
237,14.84256,16.245514,17.564941
238,14.82193,16.072472,17.28537
239,14.729095,16.062263,17.289429
240,14.370209,16.035652,17.324402
241,14.646149,16.103832,17.527557
242,14.74646,16.107834,17.412659
243,14.835846,16.031536,17.134064
244,14.598267,15.965118,17.128204
245,14.439636,15.872898,17.218933
246,14.39975,15.839642,17.195435
247,14.706482,15.842934,16.838562
248,14.496979,15.8205185,16.952515
249,14.001801,15.581745,17.005676
250,13.761932,15.408661,17.066406
251,13.553223,15.030533,16.371094
252,13.600464,14.916454,16.062622
253,13.371582,14.6743965,15.88327
254,13.138977,14.584759,15.859589
